user_hashed_email,site,event_timestamp
cc73df439f9a5beb66e053760b8c7a41821b8c888ba28f323ecbd39d97f91097,sports.acme.com,2024-07-01 16:48:52
cc73df439f9a5beb66e053760b8c7a41821b8c888ba28f323ecbd39d97f91097,sports.acme.com,2024-07-01 02:25:44
cc73df439f9a5beb66e053760b8c7a41821b8c888ba28f323ecbd39d97f91097,news.acme.com,2024-07-01 17:25:10
cc73df439f9a5beb66e053760b8c7a41821b8c888ba28f323ecbd39d97f91097,entertainment.acme.com,2024-07-01 05:24:10
cc73df439f9a5beb66e053760b8c7a41821b8c888ba28f323ecbd39d97f91097,lifestyle.acme.com,2024-07-01 18:10:01
cc73df439f9a5beb66e053760b8c7a41821b8c888ba28f323ecbd39d97f91097,lifestyle.acme.com,2024-07-01 13:38:01
cc73df439f9a5beb66e053760b8c7a41821b8c888ba28f323ecbd39d97f91097,lifestyle.acme.com,2024-07-01 11:48:01
cc73df439f9a5beb66e053760b8c7a41821b8c888ba28f323ecbd39d97f91097,lifestyle.acme.com,2024-07-01 14:28:02
cc73df439f9a5beb66e053760b8c7a41821b8c888ba28f323ecbd39d97f91097,technology.acme.com,2024-07-01 17:17:54
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,sports.acme.com,2024-07-01 14:45:10
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,sports.acme.com,2024-07-01 03:58:50
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,sports.acme.com,2024-07-01 03:00:38
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,sports.acme.com,2024-07-01 21:28:53
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,news.acme.com,2024-07-01 19:37:16
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,news.acme.com,2024-07-01 23:39:38
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,news.acme.com,2024-07-01 07:38:44
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,news.acme.com,2024-07-01 18:42:18
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,news.acme.com,2024-07-01 20:13:17
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,entertainment.acme.com,2024-07-01 06:14:47
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,entertainment.acme.com,2024-07-01 05:41:55
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,entertainment.acme.com,2024-07-01 14:41:43
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,entertainment.acme.com,2024-07-01 01:31:23
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,entertainment.acme.com,2024-07-01 19:21:45
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,lifestyle.acme.com,2024-07-01 03:31:55
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,technology.acme.com,2024-07-01 22:36:32
7b53f21b303cd8d677de788d291b4d7fe495f77742fee1617c3507ca0d84fb2a,technology.acme.com,2024-07-01 08:38:03
fcddf5a183593267e504ff304a7438d2e8e6b0e7ab6da6ff8543b7eef5c72971,sports.acme.com,2024-07-01 16:05:14
